"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","hidden_size","learning_rate","avg_accuracy","avg_f1","avg_f2","avg_fn","avg_fp","avg_loss","avg_precision","avg_recall","avg_roc_auc","avg_specificity","avg_tn","avg_tp"
"AVG_bs(2000)_lr(0.01)_hs(49)_e(20)","finished","-","","","2025-05-20T09:32:49.000Z","1","","2000","20","49","0.01","0.999741966941245","0.9968502299342674","0.9966916170775534","50.2","42.4","0.003661838994173902","0.9971154448126088","0.996586089724687","0.9997102033146084","0.9998768029955204","344121.8","14654.4"
"AVG_bs(2000)_lr(0.01)_hs(49)_e(10)","finished","-","","","2025-05-20T09:00:00.000Z","2","","2000","10","49","0.01","0.9997653738825976","0.9971367483031524","0.9971652403324016","41.4","42.8","0.0037254449941489538","0.997090647612185","0.9971845811292748","0.999718520849164","0.9998756407470928","344121.4","14663.2"
"AVG_bs(10000)_lr(0.01)_hs(98)_e(30)","finished","-","","","2025-05-21T14:04:59.000Z","1","","10000","30","98","0.01","0.9997698322703388","0.997191289556956","0.9972524150629998","39.8","42.8","0.003594121864363034","0.9970901514988496","0.9972933497337372","0.9997151635872272","0.9998756407572236","344121.4","14664.8"
"AVG_bs(20000)_lr(0.01)_hs(25)_e(10)","finished","-","","","2025-05-22T14:03:22.000Z","1","","20000","10","25","0.01","0.9998188753057607","0.9977913769285414","0.9982187464448692","22","43","0.004245556017849594","0.9970799518607276","0.9985038741606324","0.9997532198538274","0.9998750596422968","344121.2","14682.6"
"AVG_bs(2000)_lr(0.01)_hs(49)_e(30)","finished","-","","","2025-05-20T10:20:05.000Z","2","","2000","30","49","0.01","0.9997085286146626","0.9964394929563906","0.9960616236903233","61.6","43","0.003726715004724813","0.9970739788413306","0.9958108811338254","0.9997089959843224","0.9998750596422964","344121.2","14643"
"AVG_bs(15000)_lr(0.001)_hs(98)_e(10)","finished","-","","","2025-05-22T07:43:00.000Z","2","","15000","10","98","0.001","0.9971917320219652","0.9645300439212012","0.9460876661841322","967.4","40.4","0.015776032550881305","0.9970726021802448","0.9342114468108564","0.9959902761003908","0.9998826141718068","344123.8","13737.2"
"AVG_bs(20000)_lr(0.001)_hs(98)_e(20)","finished","-","","","2025-05-22T22:48:41.000Z","1","","20000","20","98","0.001","0.9992626831348548","0.990947390701216","0.9873198183411188","221.8","42.8","0.007792788604274392","0.997053460382108","0.9849162796884244","0.9997063545900796","0.9998756407572238","344121.4","14482.8"
"AVG_bs(10000)_lr(0.01)_hs(49)_e(30)","finished","-","","","2025-05-21T12:16:23.000Z","2","","10000","30","49","0.01","0.9997837649341093","0.9973617758054848","0.9975490474325518","34.2","43.4","0.00360237294743355","0.997050795070694","0.9976741799828992","0.9997138184300576","0.9998738974124424","344120.8","14670.4"
"AVG_bs(2000)_lr(0.01)_hs(98)_e(10)","finished","-","","","2025-05-20T10:35:56.000Z","2","","2000","10","98","0.01","0.9997352793215856","0.9967683146850728","0.9966016178653568","51.6","43.4","0.003762936895363964","0.9970479705855168","0.9964909432106732","0.9997119001645338","0.9998738974208848","344120.8","14653"
"AVG_bs(15000)_lr(0.001)_hs(98)_e(30)","finished","-","","","2025-05-22T09:01:33.000Z","2","","15000","30","98","0.001","0.999817203386481","0.9977710383163328","0.9982106064062832","22","43.6","0.0042080749631471315","0.997039305519344","0.9985038723106848","0.9997758709182752","0.9998733162873844","344120.6","14682.6"
