"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","fold","hidden_size","learning_rate","accuracy","f1_macro","f1_weighted","loss","precision_macro","precision_weighted","recall_macro","recall_weighted","roc_auc_ovo","roc_auc_ovr"
"TFG_MUL_bs(32)_lr(1e-05)_hs(25)_e(30)_fold(4)","finished","-","","","2025-06-04T00:13:33.000Z","95","","32","30","4","25","0.00001","0.43620783460282914","0.25731650869725803","0.4481549739369219","1.6135148228510567","0.2655336060047989","0.573547264444748","0.39804581647314463","0.43620783460282914","0.7994125857134406","0.7750524476383516"
"TFG_MUL_bs(32)_lr(1e-05)_hs(25)_e(30)_fold(3)","finished","-","","","2025-06-04T00:11:52.000Z","99","","32","30","3","25","0.00001","0.4563073784427066","0.30512379045369864","0.4719404528389968","1.62266005627487","0.3043882396573948","0.5754731937324964","0.4340045191543227","0.4563073784427066","0.7995466097889595","0.7853543088322279"
"TFG_MUL_bs(32)_lr(1e-05)_hs(25)_e(30)_fold(2)","finished","-","","","2025-06-04T00:10:13.000Z","98","","32","30","2","25","0.00001","0.3836790207412445","0.25712916200951064","0.41045609685330015","1.6351464126421058","0.28041862853129107","0.5724757141503234","0.4071879102255727","0.3836790207412445","0.7923939791839975","0.773929019382542"
"TFG_MUL_bs(32)_lr(1e-05)_hs(25)_e(30)_fold(1)","finished","-","","","2025-06-04T00:08:28.000Z","104","","32","30","1","25","0.00001","0.418701122067324","0.2454410030479215","0.4354918661573604","1.6463066615488218","0.25124632040932965","0.5598382365807412","0.3923166498213884","0.418701122067324","0.7923482564559357","0.767940998918109"
"TFG_MUL_bs(32)_lr(0.0001)_hs(98)_e(80)_fold(5)","finished","-","","","2025-06-04T00:03:33.000Z","290","","32","80","5","98","0.0001","0.5871871599564744","0.4403348093468908","0.5957636891297077","1.2491952094694845","0.4157334734310432","0.6835444631383546","0.572670656336859","0.5871871599564744","0.8930102679730297","0.8724759635561206"
"TFG_MUL_bs(32)_lr(0.0001)_hs(98)_e(80)_fold(4)","finished","-","","","2025-06-03T23:58:49.000Z","283","","32","80","4","98","0.0001","0.5625","0.4342994841307073","0.5896399809042305","1.2060088797755864","0.41960185765770786","0.7057778537911485","0.6070053380848348","0.5625","0.9029238362025456","0.8809554997016206"
"TFG_MUL_bs(32)_lr(0.0001)_hs(98)_e(80)_fold(3)","finished","-","","","2025-06-03T23:54:03.000Z","285","","32","80","3","98","0.0001","0.5390003400204012","0.4237348605370806","0.5668116168534254","1.2384813061874846","0.3859596817145541","0.6605324096322478","0.5834235517829501","0.5390003400204012","0.8949399201657803","0.8719189410338505"
"TFG_MUL_bs(32)_lr(0.0001)_hs(98)_e(80)_fold(2)","finished","-","","","2025-06-03T23:49:13.000Z","289","","32","80","2","98","0.0001","0.4967698061883713","0.38803968807669126","0.5254358561162027","1.263233035867629","0.36627881646214466","0.6629587885392401","0.564885400339207","0.4967698061883713","0.8882177061650218","0.860215665031542"
"TFG_MUL_bs(32)_lr(0.0001)_hs(98)_e(80)_fold(1)","finished","-","","","2025-06-03T23:44:29.000Z","282","","32","80","1","98","0.0001","0.569534172050323","0.4166973137975515","0.5855486443993144","1.2308456602951754","0.3906173574273951","0.6733838853039577","0.5854771205372988","0.569534172050323","0.8964186318818607","0.8728238790547412"
"TFG_MUL_bs(32)_lr(0.0001)_hs(98)_e(50)_fold(5)","finished","-","","","2025-06-03T23:41:28.000Z","176","","32","50","5","98","0.0001","0.5371327529923831","0.39800555072575056","0.5665131284360746","1.2580073751833127","0.36623550748823375","0.6567500707704467","0.568822621331783","0.5371327529923831","0.8905268375112573","0.8647860983154259"
"TFG_MUL_bs(32)_lr(0.0001)_hs(98)_e(50)_fold(4)","finished","-","","","2025-06-03T23:38:25.000Z","182","","32","50","4","98","0.0001","0.5346844396082698","0.38912130714660786","0.5567806896229565","1.2172275546128335","0.3656710089378526","0.662408190261457","0.5934608986333019","0.5346844396082698","0.8990670151727473","0.8726961810645949"
"TFG_MUL_bs(32)_lr(0.0001)_hs(98)_e(50)_fold(3)","finished","-","","","2025-06-03T23:35:24.000Z","180","","32","50","3","98","0.0001","0.5226113566814009","0.4053964429915768","0.5502366826274995","1.2396735554156095","0.3724497412120819","0.6623966174765238","0.5897180960569416","0.5226113566814009","0.8962367562119792","0.8691862211101465"
"TFG_MUL_bs(32)_lr(0.0001)_hs(98)_e(50)_fold(2)","finished","-","","","2025-06-03T23:32:18.000Z","185","","32","50","2","98","0.0001","0.5481808908534512","0.4138554123271367","0.5649711806950946","1.2706097372848055","0.3911709121082763","0.6702364323307014","0.5771256741710569","0.5481808908534512","0.8888199794430899","0.8629124347380545"
"TFG_MUL_bs(32)_lr(0.0001)_hs(98)_e(50)_fold(1)","finished","-","","","2025-06-03T23:29:19.000Z","178","","32","50","1","98","0.0001","0.525127507650459","0.39270851294770226","0.5504791434907822","1.2489964515618657","0.36706296979580233","0.6537009002116021","0.5701226515726463","0.525127507650459","0.889592383550096","0.8665431698839405"
"TFG_MUL_bs(32)_lr(0.0001)_hs(98)_e(30)_fold(5)","finished","-","","","2025-06-03T23:27:22.000Z","112","","32","30","5","98","0.0001","0.49347116430903154","0.3624391208735275","0.5239538044723543","1.323072596801364","0.34339587110624004","0.6432071070334731","0.5335991629544332","0.49347116430903154","0.8775037104090492","0.8504221359614687"
