"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","hidden_size","learning_rate","avg_accuracy","avg_f1_macro","avg_f1_weighted","avg_loss","avg_precision_macro","avg_precision_weighted","avg_recall_macro","avg_recall_weighted","avg_roc_auc_ovo","avg_roc_auc_ovr"
"AVG_bs(32)_lr(0.0001)_hs(25)_e(30)","finished","-","","","2025-05-27T21:11:18.000Z","2","","32","30","25","0.0001","0.49402213425515","0.3141293968682062","0.5073803912939455","1.8953640722710152","0.3076723541097731","0.6130030949483214","0.5057989546201273","0.49402213425515","0.7874285060290312","0.7644563710879293"
"AVG_bs(64)_lr(0.0001)_hs(49)_e(30)","finished","-","","","2025-05-28T03:39:01.000Z","3","","64","30","49","0.0001","0.4954502439896122","0.3156124793523176","0.5069879130635384","1.8806125009578207","0.3072819210508379","0.6147726025875302","0.514926534704266","0.4954502439896122","0.7905577961655548","0.7663516952347325"
"AVG_bs(512)_lr(0.01)_hs(25)_e(30)","finished","-","","","2025-05-28T11:07:39.000Z","2","","512","30","25","0.01","0.5145736702852879","0.3366162986779978","0.5069104475483982","1.8858935956297251","0.35425363677381305","0.6158749853827292","0.4809848354746066","0.5145736702852879","0.7631015260572136","0.7673015209840862"
"AVG_bs(32)_lr(0.01)_hs(98)_e(80)","finished","-","","","2025-05-27T19:07:34.000Z","4","","32","80","98","0.01","0.48531820489207594","0.333478628366397","0.5067568881951441","1.886077250190403","0.3326015698946324","0.632238229470645","0.5063145743328266","0.48531820489207594","0.7714840719183764","0.7466246839358947"
"AVG_bs(64)_lr(0.01)_hs(25)_e(50)","finished","-","","","2025-05-28T01:05:39.000Z","2","","64","50","25","0.01","0.4866498796238982","0.3496790891355613","0.5054369778723032","1.8640976573073345","0.34118568312854397","0.638732680020705","0.5183419472248899","0.4866498796238982","0.7865367260720457","0.7539638321199025"
"AVG_bs(128)_lr(0.01)_hs(25)_e(30)","finished","-","","","2025-05-28T05:32:49.000Z","3","","128","30","25","0.01","0.4887159845477562","0.34355710730443967","0.5048332520951027","1.8632600713812784","0.34722473521404473","0.6434488908580378","0.5165964962609387","0.4887159845477562","0.7844321491724523","0.7549385423452241"
"AVG_bs(256)_lr(0.01)_hs(25)_e(100)","finished","-","","","2025-05-29T00:17:31.000Z","2","","256","100","25","0.01","0.4816050285650436","0.35235023239445773","0.5045238465247419","1.8445141327792205","0.3727189966674197","0.6720417380527322","0.5380704001652833","0.4816050285650436","0.7972952537415827","0.7656179662193521"
"AVG_bs(512)_lr(0.01)_hs(25)_e(100)","finished","-","","","2025-05-29T01:44:53.000Z","3","","512","100","25","0.01","0.4907714975956228","0.34355949966686844","0.5044595603298737","1.8555978766803087","0.3424290432049887","0.6308694009977454","0.5208417533386972","0.4907714975956228","0.7846487483252533","0.7638951766826849"
"AVG_bs(512)_lr(0.001)_hs(25)_e(30)","finished","-","","","2025-05-28T11:39:27.000Z","2","","512","30","25","0.001","0.4920907388284429","0.3132388034284213","0.5044400923587475","1.861949610710144","0.3138010457258674","0.6211698841380332","0.5160302287563974","0.4920907388284429","0.7860722293367195","0.7713504152753429"
"AVG_bs(64)_lr(0.01)_hs(25)_e(100)","finished","-","","","2025-05-28T19:22:27.000Z","2","","64","100","25","0.01","0.4890175630341956","0.3373709011870671","0.504220966361701","1.8679004444246707","0.34059815740273963","0.6388061469780061","0.5195067467469309","0.4890175630341956","0.7953537508933328","0.7621388549204774"
"AVG_bs(128)_lr(0.0001)_hs(98)_e(30)","finished","-","","","2025-05-28T07:33:46.000Z","3","","128","30","98","0.0001","0.4885003342855631","0.31047336878605003","0.5004119410278876","1.8740646675358648","0.3159037718526345","0.6200580992878331","0.5105383055528334","0.4885003342855631","0.7861623762269405","0.760931937067103"
"AVG_bs(256)_lr(0.0001)_hs(25)_e(80)","finished","-","","","2025-05-28T10:02:06.000Z","3","","256","80","25","0.0001","0.4882554122997108","0.3069370750567004","0.4996834336461472","1.86604243516922","0.3125443963128821","0.6185110781831424","0.5175144501314289","0.4882554122997108","0.7935898075722084","0.7652676891573126"
"AVG_bs(128)_lr(0.01)_hs(25)_e(50)","finished","-","","","2025-05-28T05:37:23.000Z","3","","128","50","25","0.01","0.4736355867423863","0.3352111361110658","0.4994329682787349","1.86284744552944","0.33328588889163","0.6307249902706609","0.5187826365591518","0.4736355867423863","0.7909606796597659","0.7618352093815413"
"AVG_bs(512)_lr(0.0001)_hs(49)_e(80)","finished","-","","","2025-05-28T12:30:58.000Z","2","","512","80","49","0.0001","0.4831003940758752","0.3046268069671828","0.4976857847154486","1.8619128169684576","0.3068570125734038","0.6175197585003614","0.5189056889117528","0.4831003940758752","0.7937739643264531","0.7676226670431943"
"AVG_bs(128)_lr(0.0001)_hs(49)_e(30)","finished","-","","","2025-05-28T07:18:21.000Z","2","","128","30","49","0.0001","0.48588878150969794","0.3019081868043122","0.49710295792362097","1.8829256352134371","0.333686803231658","0.6264602162374221","0.5037177824207817","0.48588878150969794","0.7863475970551191","0.7608296849911829"
"AVG_bs(128)_lr(0.0001)_hs(25)_e(50)","finished","-","","","2025-05-28T07:08:11.000Z","2","","128","50","25","0.0001","0.48248840730226183","0.30662231143356716","0.4963348142967763","1.8753717969811483","0.3017442536958176","0.6123312037414169","0.5161851183434777","0.48248840730226183","0.792398380982613","0.7674961269928979"
"AVG_bs(32)_lr(0.01)_hs(98)_e(100)","finished","-","","","2025-05-28T15:16:39.000Z","2","","32","100","98","0.01","0.4793735808588123","0.3318252679843571","0.4952028356348401","1.892678309627201","0.33067040830880556","0.624912840999296","0.4992289736106853","0.4793735808588123","0.7756542285690073","0.74609516815505"
"AVG_bs(256)_lr(0.01)_hs(25)_e(80)","finished","-","","","2025-05-28T08:45:12.000Z","3","","256","80","25","0.01","0.4704787988585082","0.3468467101807124","0.495190597296021","1.8567039317098155","0.36121524620004186","0.6534257549836866","0.5181909966845657","0.4704787988585082","0.7883423243535409","0.7619042744263596"
"AVG_bs(32)_lr(1e-05)_hs(98)_e(100)","finished","-","","","2025-05-28T19:07:26.000Z","2","","32","100","98","0.00001","0.484011762522944","0.3004509664016252","0.4940114508982806","1.90351259485535","0.2966734514159282","0.6076423584950084","0.5013181862690969","0.484011762522944","0.7821507651643413","0.7591927415835885"
"AVG_bs(64)_lr(0.0001)_hs(25)_e(30)","finished","-","","","2025-05-28T03:16:38.000Z","3","","64","30","25","0.0001","0.47965918319625833","0.299560078453053","0.49178418505921623","1.8909771953458372","0.3035060625439759","0.6131091352329312","0.5063966087207725","0.47965918319625833","0.7843983387745507","0.7610085551883166"
"AVG_bs(512)_lr(0.0001)_hs(25)_e(100)","finished","-","","","2025-05-29T02:21:30.000Z","3","","512","100","25","0.0001","0.4794148716931721","0.30017980703173114","0.4916069307019077","1.8681584719953868","0.31026449486311386","0.6181000767801393","0.5129753967756581","0.4794148716931721","0.7940173986661734","0.7647038955181171"
"AVG_bs(128)_lr(0.01)_hs(25)_e(80)","finished","-","","","2025-05-28T05:44:28.000Z","2","","128","80","25","0.01","0.45725903042757104","0.33868676862679215","0.4909897180694998","1.8590952514565509","0.334859365382259","0.6382713876869884","0.5211759202632946","0.45725903042757104","0.7986672183295919","0.7687059106376939"
"AVG_bs(32)_lr(0.01)_hs(49)_e(100)","finished","-","","","2025-05-28T14:49:37.000Z","2","","32","100","49","0.01","0.4715125108268194","0.32682453217559726","0.4905630215075413","1.8976778681900188","0.33283028237632795","0.6315830288768217","0.50147291390506","0.4715125108268194","0.7756278677838441","0.746460098121061"
"AVG_bs(256)_lr(0.0001)_hs(49)_e(50)","finished","-","","","2025-05-28T10:08:52.000Z","3","","256","50","49","0.0001","0.47560632778336664","0.29823595859937296","0.4900875669175041","1.8705102743773625","0.33357119891140524","0.627656377300821","0.5120682946379811","0.47560632778336664","0.7921988149720011","0.7638165046654815"
"AVG_bs(32)_lr(1e-05)_hs(49)_e(100)","finished","-","","","2025-05-28T18:40:49.000Z","2","","32","100","49","0.00001","0.4793330401782757","0.29973186588819295","0.4888156611932534","1.9130003479770992","0.2988077943161544","0.6036821356407227","0.49869924244017544","0.4793330401782757","0.7774176089114079","0.7574513151500311"
"AVG_bs(32)_lr(1e-05)_hs(98)_e(80)","finished","-","","","2025-05-28T00:54:20.000Z","3","","32","80","98","0.00001","0.47693921053108673","0.29769405873938215","0.48717232860394144","1.908924729875896","0.31629892593302894","0.6141851846865981","0.4957590752137587","0.47693921053108673","0.7792173634732349","0.7573616488467586"
"AVG_bs(64)_lr(0.01)_hs(49)_e(30)","finished","-","","","2025-05-28T01:21:24.000Z","2","","64","30","49","0.01","0.4535461232679401","0.3176793887080007","0.4862400481559045","1.880160989657692","0.32465274102699493","0.6367893126568248","0.5049541151270281","0.4535461232679401","0.7812024556198881","0.7519201809489708"
"AVG_bs(512)_lr(0.0001)_hs(98)_e(50)","finished","-","","","2025-05-28T12:36:26.000Z","2","","512","50","98","0.0001","0.47062829961310193","0.29468874136241424","0.4851021809293797","1.869209488506975","0.318513295049762","0.6232220511646523","0.5125598226392521","0.47062829961310193","0.790637831412601","0.7641981566856008"
"AVG_bs(256)_lr(0.0001)_hs(98)_e(30)","finished","-","","","2025-05-28T10:17:54.000Z","2","","256","30","98","0.0001","0.4723828890560419","0.2937475567677742","0.4846881553755717","1.8785910026780488","0.29807702166284666","0.6114181388897935","0.5049423719444734","0.4723828890560419","0.7865820441626977","0.7593664955846806"
"AVG_bs(128)_lr(0.0001)_hs(25)_e(30)","finished","-","","","2025-05-28T07:03:35.000Z","3","","128","30","25","0.0001","0.47201576137005646","0.2882254867287263","0.4838851082421268","1.891536679475204","0.31988437491279414","0.6196162304849832","0.5036434547018388","0.47201576137005646","0.7885092638906623","0.7616691468960746"
"AVG_bs(64)_lr(1e-05)_hs(98)_e(100)","finished","-","","","2025-05-28T22:11:59.000Z","2","","64","100","98","0.00001","0.4725596080922636","0.2871819691940434","0.48136518770941183","1.9033721776630568","0.3174159120525294","0.615449556251801","0.4951354011037756","0.4725596080922636","0.780367925245027","0.753496428730367"
